task_id,title,part_nr,kind,prompt,loesung,mehrere_moeglich
8f58d4cc-97cb-46d1-b036-b2246f0827a0,Würfelnetze,1,mc,Bei welcher Abbildung handelt es sich um das Netz (Abwicklung) eines Würfels?,a,False
97f07182-49a7-4235-aa81-76cc79085838,Zahlen addieren,1,free_text,"Die Summe von zwei ganzen Zahlen, die beide größer als 0 sind, soll 8 ergeben. Schreibe alle Möglichkeiten auf, wie diese Summe gebildet werden kann.","1+7, 2+6, 3+5, 4+4, 5+3, 6+2, 7+1",False
97f07182-49a7-4235-aa81-76cc79085838,Zahlen addieren,2,free_text,"Nun geht es um Bruchzahlen, die größer als 0 sind. Die Summe von zwei solchen Bruchzahlen soll 1/8 ergeben. Schreibe ein Beispiel auf, wie die Summe gebildet werden kann. Die Brüche müssen dabei vollständig gekürzt sein.","1/16 + 1/16 oder andere vollständig gekürzte Bruchpaare, die 1/8 ergeben",True
c18445fa-cfec-464c-abe4-96d153aaa78b,Zahl gesucht,1,mc,"Wenn 9x = 6,3; dann ist x = ?","c (0,7)",False
95c96e7e-592d-471f-bb90-c0bc7adcaa23,Zahl gesucht 2,1,numeric,Auf welche Zahl zeigt der Pfeil ungefähr? Schreibe die Zahl in das Kästchen.,500000,True
73676e71-d8b7-410e-83ec-d3407af7448f,Zeitangabe,1,mc,Wie viele Minuten sind 2 1/2 Stunden?,c,False
95b85cbb-f494-4402-9ce9-afb9da6a4334,Zoobesuch,1,mc,Welches Diagramm passt am besten zu diesem Vorgang? Kreuze an.,d,False
0c49350a-1163-4dbb-9775-836d73bc09d6,Zwanzig Prozent,1,numeric,Gib 20% von 150€ an.,30,False
81f69046-b437-40b7-8c96-f6350ea7ab4c,Zwischen zwei Zahlen,1,mc,"Welche der folgenden Zahlen liegt zwischen 0,06 und 0,07?",c,False
932d5499-416f-4316-92e0-aff931b59b82,Zwischen zwei Zahlen 2,1,short_input,"Gib zwei unterschiedliche rationale Zahlen an, die zwischen -4,5 und -3,5 liegen.","z.B. -4 und -4,2 (beliebige zwei verschiedene rationale Zahlen im Intervall (-4,5; -3,5))",True
932d5499-416f-4316-92e0-aff931b59b82,Zwischen zwei Zahlen 2,2,mc,"Wie viele unterschiedliche Zahlen liegen zwischen -4,5 und -3,5? Kreuze an.",e,False
