titel,status,grounding_quote,task_type,inhaltsfelder,kompetenzen,afb_max,stamm_quelle,bild_pfad,n_antworten,probleme
Autokauf,partial,3/5,MULTIPLE_CHOICE,arithmetik_algebra,arg|kom|mod|ope,2,emf_text_records,,0,ta1_antwort_erfordert_begruendung
Außenthermometer,ready,4/5,MULTI_PART,arithmetik_algebra,ope,1,emf_text_records,,2,keine_typischen_fehler_belegt
Bahncard,ready,4/5,MULTI_PART,arithmetik_algebra,kom|mod|ope,2,vision_transkription,vera8_assets/bahncard/aufgabe_01.png,1,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Berechne x,doc_pending,4/5,SHORT_INPUT,funktionen,,1,-,,1,kein_stamm_extrahierbar
Berechnungen am Rechteck,ready,4/5,MULTI_PART,geometrie,ope,1,emf_text_records,,2,keine_typischen_fehler_belegt
Bernd und das Brot,partial,2/5,FREE_TEXT,geometrie,ope,1,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Besondere Vierecke,ready,4/5,SHORT_INPUT,geometrie,kom|ope,1,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_antwort_ist_satz
Bestimme x,ready,4/5,SHORT_INPUT,funktionen,ope,1,vision_transkription,vera8_assets/bestimmex/aufgabe_01.png,1,keine_typischen_fehler_belegt
Bevölkerungsdichte,ready,5/5,MULTI_PART,stochastik,kom,1,emf_text_records,,2,
Bewege C,doc_pending,4/5,MULTI_PART,geometrie,,2,-,,3,kein_stamm_extrahierbar; ta1_antwort_ist_satz
Bistroumfrage,partial,2/5,MULTI_PART,stochastik,kom|mod,2,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_antwort_ist_satz; ta2_mc_optionen_nicht_zerlegbar
Bonbons,doc_pending,4/5,SHORT_INPUT,stochastik,mod,1,-,,1,kein_stamm_extrahierbar
Brettspiel,doc_pending,4/5,SHORT_INPUT,stochastik,,1,-,,1,kein_stamm_extrahierbar
Briefmarkenschachteln,doc_pending,4/5,MULTI_PART,geometrie,kom,2,-,,2,kein_stamm_extrahierbar
Bruch und Prozentsatz,partial,2/5,FREE_TEXT,arithmetik_algebra,ope,1,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Brötchen,ready,4/5,MULTI_PART,arithmetik_algebra,mod|ope|pro,2,emf_text_records,,2,keine_typischen_fehler_belegt
Butter,ready,4/5,SHORT_INPUT,geometrie,kom|ope,1,emf_text_records,,2,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta1_loesung_ist_intervall
Chancen,doc_pending,4/5,MULTI_PART,stochastik,,2,-,,1,kein_stamm_extrahierbar; ta1_antwort_ist_satz; ta2_antwort_erfordert_begruendung
Colakästen,ready,5/5,MULTI_PART,arithmetik_algebra,kom|mod|ope,2,emf_text_records,,4,ta2_antwort_erfordert_begruendung
Computerspielsucht,doc_pending,4/5,SHORT_INPUT,arithmetik_algebra,,1,-,,1,kein_stamm_extrahierbar
Croissant,ready,5/5,SHORT_INPUT,arithmetik_algebra,mod|ope,1,emf_text_records,,1,
Damenuhr,ready,5/5,MULTI_PART,arithmetik_algebra,kom|mod|ope|pro,2,emf_text_records,,1,ta2_loesung_ist_freitext
Darstellung in Diagrammen,doc_pending,2/5,FREE_TEXT,stochastik,kom,1,-,,0,kein_stamm_extrahierbar; ta1_loesung_ist_freitext
Das ist gerundet,ready,5/5,SHORT_INPUT,arithmetik_algebra,ope,1,emf_text_records,,1,
Deckungsgleiche Parallelogramme,partial,3/5,?,geometrie,kom|pro,1,emf_text_records,,0,ta1_auswertung_ohne_konkrete_loesung
Der Riese,partial,2/5,FREE_TEXT,geometrie,kom|mod|ope|pro,3,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Der Stern,ready,4/5,MULTIPLE_CHOICE,geometrie,kom|ope,2,emf_text_records,,1,keine_typischen_fehler_belegt
Division von Zahlen,partial,3/5,MULTIPLE_CHOICE,arithmetik_algebra,arg|kom,3,emf_text_records,,0,ta1_antwort_ist_satz; ta1_mc_mehrfachauswahl
Drehkörper,doc_pending,4/5,SHORT_INPUT,geometrie,,1,-,,1,kein_stamm_extrahierbar
Dreieck im Quadrat,ready,5/5,MULTI_PART,arithmetik_algebra|funktionen|geometrie,arg|kom|pro,3,emf_text_records,,2,ta3_antwort_erfordert_begruendung
Dreieck im Rechteck,interaktiv_extern,0/5,?,,,?,-,,0,kein_stamm_extrahierbar; keine_typischen_fehler_belegt
Dreiecke ergänzen,ready,4/5,SHORT_INPUT,geometrie,kom|pro,1,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_antwort_ist_satz
Dreieckszahlen,ready,5/5,MULTI_PART,arithmetik_algebra,kom|ope|pro,3,emf_text_records,,5,
Druckmaschinen,ready,4/5,MULTI_PART,funktionen,mod|ope,1,emf_text_records,,2,keine_typischen_fehler_belegt
Durch 1001 teilbar,partial,3/5,MULTIPLE_CHOICE,arithmetik_algebra,arg|kom|ope|pro,3,emf_text_records,,0,ta1_antwort_ist_satz; ta1_mc_mehrfachauswahl
Ecken an Pyramiden,ready,5/5,SHORT_INPUT,geometrie,kom,1,emf_text_records,,1,
Ecken und Kanten,partial,2/5,FREE_TEXT,geometrie,kom,1,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Eindeutig,ready,4/5,MULTI_PART,funktionen,ope|pro,3,emf_text_records,,1,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_antwort_ist_satz
Einfache Gleichung,ready,5/5,SHORT_INPUT,funktionen,ope,1,emf_text_records,,1,
Eingefärbter Körper,ready,4/5,SHORT_INPUT,geometrie,kom|pro,2,emf_text_records,,1,keine_typischen_fehler_belegt
Eiscafé,ready,4/5,MULTI_PART,funktionen,kom|ope,2,vision_transkription,vera8_assets/eiscafe/aufgabe_01.png,2,keine_typischen_fehler_belegt; ta2_antwort_erfordert_begruendung
Fahrradcomputer,doc_pending,4/5,MULTI_PART,arithmetik_algebra,,2,-,,1,kein_stamm_extrahierbar; ta2_loesung_ist_freitext
Fahrradtour,doc_pending,4/5,MULTI_PART,,,2,-,,2,kein_stamm_extrahierbar; ta1_antwort_ist_satz; ta2_loesung_ist_freitext; ta_anzahl_inkonsistent
Fahrräder,ready,4/5,MULTI_PART,stochastik,kom|mod,3,emf_text_records,,1,keine_typischen_fehler_belegt; ta2_loesung_ist_freitext
Fahrtrichtung geradeaus,ready,4/5,MULTI_PART,geometrie,kom,1,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Faschingsdeko,ready,4/5,SHORT_INPUT,arithmetik_algebra,pro,1,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_antwort_ist_satz
Fehlende Zahlen,ready,5/5,MULTI_PART,arithmetik_algebra,ope,1,emf_text_records,,1,ta2_auswertung_ohne_konkrete_loesung
Fieberthermometer,doc_pending,4/5,MULTI_PART,arithmetik_algebra,kom,1,-,,2,kein_stamm_extrahierbar
Figur aus zwei Dreiecken,partial,3/5,MULTIPLE_CHOICE,geometrie,arg|kom,3,emf_text_records,,0,ta1_antwort_ist_satz; ta1_mc_mehrfachauswahl
Fische zählen,doc_pending,4/5,SHORT_INPUT,stochastik,,2,-,,1,kein_stamm_extrahierbar
Fliesen,doc_pending,4/5,SHORT_INPUT,funktionen,,2,-,,1,kein_stamm_extrahierbar
Fliesen für den Fußboden,partial,2/5,MULTI_PART,funktionen|geometrie,kom|ope|pro,2,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung; ta2_antwort_ist_satz; ta2_mc_optionen_nicht_zerlegbar
Flächengleich oder nicht,ready,4/5,MULTI_PART,geometrie,arg|kom|ope,3,emf_text_records,,1,keine_typischen_fehler_belegt; ta2_antwort_erfordert_begruendung
Flächeninhalt,ready,5/5,SHORT_INPUT,geometrie,kom|ope,1,emf_text_records,,1,
Freibad,ready,4/5,MULTI_PART,stochastik,kom|ope,3,vision_transkription,vera8_assets/freibad/aufgabe_01.png,1,keine_typischen_fehler_belegt; medium_auch_in_anderer_aufgabe:adventskalender; ta2_antwort_erfordert_begruendung
Freizeitbeschäftigungen,quarantined,5/5,MULTI_PART,,,1,emf_text_records,,1,ta2_antwort_erfordert_begruendung; ta3_antwort_erfordert_begruendung; ta_anzahl_inkonsistent
Freizeitkosten,partial,2/5,MULTIPLE_CHOICE,stochastik,arg|kom|pro,2,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Freunde,partial,3/5,MULTI_PART,funktionen,kom,2,emf_text_records,,0,ta1_antwort_ist_satz; ta1_mc_mehrfachauswahl; ta2_antwort_ist_satz; ta2_mc_mehrfachauswahl; ta3_loesung_ist_freitext
Frühstücksbrötchen,doc_pending,4/5,MULTI_PART,arithmetik_algebra,,1,-,,5,kein_stamm_extrahierbar; ta1_antwort_ist_satz; ta2_antwort_ist_satz; ta3_antwort_erfordert_begruendung
Fußballtabelle,ready,4/5,MULTI_PART,arithmetik_algebra,arg|kom|mod|pro,2,emf_text_records,,2,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta2_antwort_erfordert_begruendung; ta3_antwort_ist_satz
Fußleisten,doc_pending,4/5,MULTI_PART,arithmetik_algebra|geometrie,,1,-,,2,kein_stamm_extrahierbar
Füllverhalten,partial,2/5,MULTI_PART,funktionen,kom|mod,3,vision_transkription,vera8_assets/fuellverhalten/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_loesung_ist_freitext; ta2_auswertung_zelle_leer
Fünfundvierzig,doc_pending,4/5,SHORT_INPUT,funktionen,,1,-,,1,kein_stamm_extrahierbar
Geld anlegen,partial,2/5,MULTI_PART,funktionen,arg|kom|mod|ope,3,vision_transkription,vera8_assets/geldanlegen/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_antwort_erfordert_begruendung
Geometrische Körper erkennen,doc_pending,3/5,SHORT_INPUT,geometrie,kom,1,-,,1,kein_stamm_extrahierbar; keine_typischen_fehler_belegt
Geraden im Koordinatensystem,ready,4/5,MULTIPLE_CHOICE,funktionen,kom,1,emf_text_records,,1,keine_typischen_fehler_belegt
Gesamtkantenlänge,partial,1/5,MULTIPLE_CHOICE,geometrie,kom|ope,1,vision_transkription,vera8_assets/gesamtkantenlaenge/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Geschichte zur Graphik,doc_pending,4/5,SHORT_INPUT,funktionen,,2,-,,1,kein_stamm_extrahierbar
Geschwindigkeitsüberschreitung,ready,5/5,MULTIPLE_CHOICE,funktionen,kom,1,emf_text_records,,1,
Gewerbezone,ready,5/5,SHORT_INPUT,geometrie,kom|ope,2,emf_text_records,,1,
Gewitter,ready,5/5,MULTI_PART,funktionen,kom|mod|ope,1,emf_text_records,,2,
Gleichung finden,ready,5/5,MULTI_PART,funktionen,kom|ope,1,emf_text_records,,1,ta1_antwort_ist_satz; ta1_mc_optionen_nicht_zerlegbar
Gleichung lösen 1,ready,5/5,SHORT_INPUT,funktionen,ope,1,emf_text_records,,1,
Gleichung lösen 2,ready,5/5,MULTIPLE_CHOICE,funktionen,ope,1,emf_text_records,,1,
Gleichung lösen 3,ready,4/5,MULTIPLE_CHOICE,funktionen,ope,1,emf_text_records,,1,keine_typischen_fehler_belegt
Gleichung verändern,ready,4/5,MULTI_PART,funktionen,ope|pro,2,emf_text_records,,1,keine_typischen_fehler_belegt; ta2_auswertung_zelle_leer
Gleichungen lösen ist nicht schwierig,doc_pending,4/5,MULTI_PART,funktionen,,3,-,,3,kein_stamm_extrahierbar; ta2_antwort_ist_satz; ta3_antwort_erfordert_begruendung
Glücksrad,doc_pending,4/5,MULTI_PART,stochastik,,1,-,,1,kein_stamm_extrahierbar; ta2_loesung_ist_freitext
Glücksrad drehen,doc_pending,4/5,MULTI_PART,stochastik,,2,-,,1,kein_stamm_extrahierbar; ta1_loesung_ist_freitext; ta2_antwort_ist_satz
Glückssäckchen,ready,4/5,MULTI_PART,stochastik,arg|kom|mod|ope|pro,3,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung; ta2_auswertung_zelle_leer
Großer Wagen,partial,2/5,MULTI_PART,geometrie,kom,2,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung; ta2_loesung_ist_freitext; ta3_auswertung_ohne_konkrete_loesung
Gummibären,ready,4/5,MULTI_PART,stochastik,kom|mod|ope,2,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Güterverkehr,ready,5/5,MULTI_PART,funktionen,kom,1,emf_text_records,,2,
Handygebühr,ready,4/5,MULTI_PART,arithmetik_algebra|funktionen,mod|ope,1,emf_text_records,,1,keine_typischen_fehler_belegt; ta2_antwort_ist_satz; ta2_mc_optionen_nicht_zerlegbar
Harzwanderung,doc_pending,4/5,MULTI_PART,arithmetik_algebra,kom,2,-,,7,kein_stamm_extrahierbar; ta1_antwort_ist_satz
Hauptstädte,ready,5/5,MULTI_PART,geometrie,kom|mod|ope|pro,2,emf_text_records,,2,ta1_antwort_ist_satz; ta1_loesung_ist_intervall
Hausaufgaben,partial,1/5,MULTI_PART,stochastik,kom,2,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_auswertung_zelle_leer
Haushaltsabfälle,ready,5/5,MULTI_PART,stochastik,kom,1,emf_text_records,,1,ta2_loesung_ist_freitext
Heizkosten,partial,1/5,MULTIPLE_CHOICE,arithmetik_algebra,mod|ope,2,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Hochrad,doc_pending,4/5,MULTI_PART,funktionen,,2,-,,2,kein_stamm_extrahierbar; ta1_loesung_ist_freitext
Holzstab,doc_pending,4/5,MULTI_PART,geometrie,,1,-,,6,kein_stamm_extrahierbar
Holzwürfel,ready,5/5,SHORT_INPUT,arithmetik_algebra,pro,1,emf_text_records,,1,
Honigbiene,ready,4/5,MULTIPLE_CHOICE,geometrie,mod,1,emf_text_records,,1,keine_typischen_fehler_belegt
Hälfte,ready,5/5,SHORT_INPUT,arithmetik_algebra,ope,1,emf_text_records,,1,
Im Kreis laufen,partial,3/5,MULTIPLE_CHOICE,funktionen,kom|mod,2,emf_text_records,,0,ta1_antwort_ist_satz; ta1_mc_position_uneindeutig
Inliner,partial,3/5,MULTI_PART,funktionen,arg|kom|mod|ope|pro,2,emf_text_records,,0,ta1_loesung_ist_freitext; ta2_antwort_erfordert_begruendung; ta2_mc_mehrfachauswahl
Innenwinkel,interaktiv_extern,0/5,?,,,?,-,,0,kein_stamm_extrahierbar; keine_typischen_fehler_belegt
Innenwinkel 2,ready,4/5,MULTI_PART,geometrie,arg|ope,3,vision_transkription,vera8_assets/innenwinkel2/aufgabe_01.png,1,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_antwort_ist_satz; ta3_antwort_erfordert_begruendung
Internetauktion,ready,4/5,MULTI_PART,stochastik,kom|mod|ope,2,emf_text_records,,2,keine_typischen_fehler_belegt
Jeans mit Ermäßigung,ready,4/5,MULTIPLE_CHOICE,arithmetik_algebra,mod|ope,1,emf_text_records,,1,keine_typischen_fehler_belegt
Joggen,doc_pending,4/5,MULTI_PART,funktionen,,2,-,,1,kein_stamm_extrahierbar; ta1_antwort_ist_satz; ta2_loesung_ist_freitext
Jubiläumsgeschenk,partial,2/5,MULTI_PART,funktionen,arg|mod|ope|pro,2,vision_transkription,vera8_assets/jubilaeumsgeschenk/aufgabe_01.png,0,keine_typischen_fehler_belegt; ta1_loesung_ist_freitext; ta2_antwort_erfordert_begruendung
Judomatte,doc_pending,4/5,SHORT_INPUT,geometrie,,1,-,,1,kein_stamm_extrahierbar
Kauf eines DVD-Players,ready,5/5,MULTI_PART,arithmetik_algebra,arg|kom|mod|ope,2,emf_text_records,,1,ta2_antwort_erfordert_begruendung
Kaum eine Chance,ready,5/5,MULTI_PART,stochastik,arg|kom|mod|ope,2,emf_text_records,,1,ta1_loesung_ist_freitext
Kopf und Körper,ready,4/5,MULTI_PART,geometrie,kom|ope,1,emf_text_records,,2,keine_typischen_fehler_belegt
Kraftfutter,doc_pending,4/5,SHORT_INPUT,funktionen,,1,-,,2,kein_stamm_extrahierbar; ta1_antwort_ist_satz
Kreise färben,doc_pending,4/5,SHORT_INPUT,arithmetik_algebra,,1,-,,1,kein_stamm_extrahierbar; ta1_antwort_ist_satz
Kreise und Vierecke,doc_pending,4/5,MULTI_PART,geometrie,,3,-,,1,kein_stamm_extrahierbar; ta2_antwort_erfordert_begruendung
Kreisfiguren,ready,4/5,SHORT_INPUT,geometrie,pro,2,vision_transkription,vera8_assets/kreisfiguren/aufgabe_01.png,2,keine_typischen_fehler_belegt
Kugeln ziehen,ready,4/5,SHORT_INPUT,stochastik,pro,3,vision_transkription,vera8_assets/kugelnziehen/aufgabe_01.png,1,keine_typischen_fehler_belegt
Körper füllen,ready,5/5,MULTIPLE_CHOICE,geometrie,kom|ope,1,emf_text_records,,1,
Körper mit Seitenflächen,ready,5/5,MULTI_PART,geometrie,ope|pro,1,emf_text_records,,2,ta2_loesung_ist_freitext
Lage der Würfel,partial,3/5,FREE_TEXT,geometrie,kom|pro,3,emf_text_records,,0,ta1_antwort_erfordert_begruendung
Lage von zwei Geraden,partial,3/5,MULTIPLE_CHOICE,funktionen,arg|kom,2,emf_text_records,,0,ta1_antwort_erfordert_begruendung
Leistung des Motors,partial,3/5,MULTIPLE_CHOICE,geometrie,kom|ope,1,emf_text_records,,0,ta1_antwort_ist_satz; ta1_mc_optionen_nicht_zerlegbar
Liebstes Schulfach,partial,2/5,MULTI_PART,stochastik,arg|kom|ope|pro,2,vision_transkription,vera8_assets/liebstesschulfach/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_antwort_erfordert_begruendung
Linear und proportional,doc_pending,4/5,MULTI_PART,funktionen,,3,-,,1,kein_stamm_extrahierbar; ta2_loesung_ist_freitext
Lineare Funktionen anwenden,doc_pending,4/5,SHORT_INPUT,funktionen,,2,-,,1,kein_stamm_extrahierbar
Literberechnungen,doc_pending,4/5,MULTI_PART,arithmetik_algebra,,1,-,,5,kein_stamm_extrahierbar
Lohnerhöhung,ready,4/5,SHORT_INPUT,arithmetik_algebra,ope,1,emf_text_records,,1,keine_typischen_fehler_belegt
Luftballons,ready,4/5,MULTIPLE_CHOICE,stochastik,kom|mod,1,emf_text_records,,1,keine_typischen_fehler_belegt
Mathematikarbeit,doc_pending,4/5,SHORT_INPUT,arithmetik_algebra,,1,-,,1,kein_stamm_extrahierbar
Mauer aus Zahlen,ready,4/5,MULTI_PART,arithmetik_algebra,ope|pro,2,emf_text_records,,2,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer
Maus,ready,4/5,MULTIPLE_CHOICE,geometrie,ope,1,emf_text_records,,1,keine_typischen_fehler_belegt
Maßstabsleiste,ready,4/5,MULTIPLE_CHOICE,funktionen,kom|ope,2,emf_text_records,,1,keine_typischen_fehler_belegt
Maßstabsrechner,doc_pending,4/5,SHORT_INPUT,funktionen,,1,-,,1,kein_stamm_extrahierbar
Mensch ärgere dich nicht,partial,2/5,MULTI_PART,stochastik,arg|kom|mod,2,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_antwort_erfordert_begruendung
Messzylinder,ready,5/5,SHORT_INPUT,geometrie,kom,1,emf_text_records,,1,
Mitte zwischen Zahlen,doc_pending,4/5,SHORT_INPUT,arithmetik_algebra,,1,-,,1,kein_stamm_extrahierbar
Muckibude,ready,4/5,MULTI_PART,stochastik,kom,1,vision_transkription,vera8_assets/muckibude/aufgabe_01.png,2,keine_typischen_fehler_belegt
Mädchenanteil,ready,4/5,MULTIPLE_CHOICE,arithmetik_algebra,ope,1,emf_text_records,,1,keine_typischen_fehler_belegt
Mülltonne,partial,2/5,FREE_TEXT,geometrie,kom|mod|ope,3,vision_transkription,vera8_assets/muelltonne/aufgabe_01.png,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Nachfolgerzahl,partial,3/5,MULTI_PART,arithmetik_algebra,arg|kom|ope,3,emf_text_records,,0,ta1_loesung_ist_freitext; ta2_antwort_erfordert_begruendung
Nagelbrett,ready,5/5,MULTI_PART,geometrie,arg|kom|pro,2,emf_text_records,,1,grafik_als_emf_nicht_renderbar; ta2_antwort_erfordert_begruendung
Naschkatze,ready,5/5,MULTIPLE_CHOICE,stochastik,kom,1,emf_text_records,,1,
Nashorn,partial,2/5,FREE_TEXT,geometrie,kom|mod|ope,1,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Nebenjob,ready,5/5,MULTI_PART,stochastik,kom|mod|ope|pro,2,emf_text_records,,1,ta2_loesung_ist_freitext
Niederschlag,ready,4/5,MULTI_PART,stochastik,arg|kom,3,emf_text_records,,3,keine_typischen_fehler_belegt; ta4_antwort_erfordert_begruendung
Niederschläge,ready,4/5,MULTI_PART,stochastik,kom|ope|pro,1,emf_text_records,,1,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_loesung_ist_freitext; ta2_auswertung_zelle_leer
Null Komma Acht,ready,4/5,MULTI_PART,arithmetik_algebra,ope,1,emf_text_records,,2,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta2_antwort_ist_satz
Ohrhänger,partial,3/5,MULTI_PART,funktionen,kom|mod|ope|pro,2,emf_text_records,,0,ta1_antwort_erfordert_begruendung; ta2_antwort_erfordert_begruendung
Osterhase,ready,5/5,MULTI_PART,arithmetik_algebra,kom|mod|ope,2,emf_text_records,,1,auswertung_loesung_nur_als_formelgrafik; ta2_auswertung_zelle_leer
Papier,ready,5/5,SHORT_INPUT,funktionen,mod|ope,1,emf_text_records,,1,
Pappschachtel,partial,1/5,MULTI_PART,geometrie,kom|ope|pro,1,vision_transkription,vera8_assets/pappschachtel/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_auswertung_zelle_leer
Parfum,ready,4/5,MULTI_PART,geometrie,kom|mod|ope,2,emf_text_records,,1,keine_typischen_fehler_belegt; ta1_loesung_ist_intervall; ta2_antwort_erfordert_begruendung
Parkhaus,partial,2/5,FREE_TEXT,funktionen,kom|mod|ope,2,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_loesung_ist_freitext
Parlamentswahl,ready,5/5,MULTI_PART,arithmetik_algebra,kom|ope|pro,2,emf_text_records,,1,ta2_loesung_ist_freitext
Passende Schuhe,ready,5/5,MULTI_PART,arithmetik_algebra,arg|kom|ope,2,emf_text_records,,1,ta1_antwort_erfordert_begruendung
Pflaumen,ready,4/5,SHORT_INPUT,funktionen,ope,1,emf_text_records,,1,keine_typischen_fehler_belegt
Pinsel,ready,4/5,MULTI_PART,funktionen,ope,2,vision_transkription,vera8_assets/pinsel/aufgabe_01.png,1,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta1_loesung_ist_intervall; ta2_auswertung_zelle_leer
Plättchen ziehen,partial,2/5,?,stochastik,kom|mod,1,emf_text_records,,0,ta1_auswertung_zelle_leer
Prozentanteil schätzen,ready,4/5,MULTIPLE_CHOICE,arithmetik_algebra,kom|pro,1,emf_text_records,,1,keine_typischen_fehler_belegt
Punkt gesucht,doc_pending,4/5,MULTI_PART,geometrie,,3,-,,1,kein_stamm_extrahierbar; ta1_antwort_ist_satz; ta2_loesung_ist_freitext
Punkte auf Geraden,partial,3/5,MULTI_PART,funktionen,arg|kom|ope,3,emf_text_records,,0,ta1_loesung_ist_freitext; ta2_antwort_erfordert_begruendung; ta3_loesung_ist_freitext
Punkte im Koordinatensystem,doc_pending,4/5,MULTI_PART,geometrie,,1,-,,2,kein_stamm_extrahierbar; ta1_antwort_ist_satz
Punktgenau,ready,5/5,MULTI_PART,geometrie,kom,1,emf_text_records,,1,ta2_loesung_ist_freitext
Pyramidenbau,ready,5/5,SHORT_INPUT,geometrie,kom,1,emf_text_records,,1,grafik_als_emf_nicht_renderbar
Quader,doc_pending,4/5,MULTI_PART,geometrie,,1,-,,2,kein_stamm_extrahierbar
Quadernetz,ready,5/5,MULTIPLE_CHOICE,geometrie,kom,2,emf_text_records,,1,
Quadernetz 2,partial,2/5,MULTIPLE_CHOICE,geometrie,kom|pro,1,emf_text_records,,0,keine_typischen_fehler_belegt; ta1_antwort_ist_satz; ta1_mc_optionen_nicht_zerlegbar
Quadernetz vervollständigen,ready,5/5,SHORT_INPUT,geometrie,kom|pro,2,emf_text_records,,1,ta1_antwort_ist_satz
